0,PermitNo,DayOfWeek,Date,StartTime,EndTime,TotalHours,Event,Field,Park,FieldInPark,Group,YorA,IntOrExt
2337,7588,Friday,17-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2338,7632,Friday,17-May-19,20,22,2,RYN - Multipurpose Field - (CHS) (L),Multipurpose Field,Ryan Playground,"Multipurpose Field, Ryan Playground",weekdays @ Ryan,Youth Athletics,External Reservation
2339,7586,Friday,17-May-19,18,20,2,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2340,8775,Friday,17-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2341,7322,Saturday,18-May-19,7,19,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown coop spring 2019 ,Youth Athletics,Internal Reservation
2342,8940,Saturday,18-May-19,19,21,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",upsl soccer game -sevilla fc ,Youth Athletics,External Reservation
2343,7322,Saturday,18-May-19,7,19,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown coop spring 2019 ,Youth Athletics,Internal Reservation
2344,7590,Saturday,18-May-19,8,20,12,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekends,Youth Athletics,External Reservation
2345,7589,Saturday,18-May-19,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekends on LL field,Youth Athletics,External Reservation
2346,7588,Saturday,18-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2347,7590,Saturday,18-May-19,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",weekends,Youth Athletics,External Reservation
2348,8775,Saturday,18-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2349,9570,Sunday,19-May-19,9,18,9,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",Hub Sports Boston #9570,Adult Athletics,External Reservation
2350,7322,Sunday,19-May-19,7,19,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown coop spring 2019 ,Youth Athletics,Internal Reservation
2351,7322,Sunday,19-May-19,7,19,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown coop spring 2019 ,Youth Athletics,Internal Reservation
2352,7590,Sunday,19-May-19,8,20,12,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekends,Youth Athletics,External Reservation
2353,7589,Sunday,19-May-19,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekends on LL field,Youth Athletics,External Reservation
2354,9569,Sunday,19-May-19,9,18,9,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Hub Sports Boston #9569,Adult Athletics,External Reservation
2355,8775,Sunday,19-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2356,7321,Monday,20-May-19,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2357,7907,Monday,20-May-19,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High Softball,Youth Athletics,Internal Reservation
2358,7321,Monday,20-May-19,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2359,7694,Monday,20-May-19,14,18,4,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown High Baseball,Youth Athletics,Internal Reservation
2360,7586,Monday,20-May-19,18,20,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2361,7632,Monday,20-May-19,20,22,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekdays @ Ryan,Youth Athletics,External Reservation
2362,7587,Monday,20-May-19,17,20,3,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekdays on Ryan LL field,Youth Athletics,External Reservation
2363,7588,Monday,20-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2364,7586,Monday,20-May-19,18,20,2,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2365,9118,Monday,20-May-19,20,23,3,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",MSCPA Softball #9118,Adult Athletics,External Reservation
2366,8775,Monday,20-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2367,7321,Tuesday,21-May-19,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2368,8983,Tuesday,21-May-19,20,22,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Lacrosse #8983,Adult Athletics,External Reservation
2369,7907,Tuesday,21-May-19,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High Softball,Youth Athletics,Internal Reservation
2370,7321,Tuesday,21-May-19,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2371,7694,Tuesday,21-May-19,14,18,4,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown High Baseball,Youth Athletics,Internal Reservation
2372,7586,Tuesday,21-May-19,18,20,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2373,7632,Tuesday,21-May-19,20,22,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekdays @ Ryan,Youth Athletics,External Reservation
2374,7587,Tuesday,21-May-19,17,20,3,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekdays on Ryan LL field,Youth Athletics,External Reservation
2375,7588,Tuesday,21-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2376,7586,Tuesday,21-May-19,18,20,2,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2377,9118,Tuesday,21-May-19,20,23,3,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",MSCPA Softball #9118,Adult Athletics,External Reservation
2378,8775,Tuesday,21-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2379,9045,Wednesday,22-May-19,18,21,3,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",Hub Sports Boston #9045,Adult Athletics,External Reservation
2380,9040,Wednesday,22-May-19,21,23,3,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",Hub Sports Boston #9040,Adult Athletics,External Reservation
2381,7321,Wednesday,22-May-19,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2382,7907,Wednesday,22-May-19,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High Softball,Youth Athletics,Internal Reservation
2383,7321,Wednesday,22-May-19,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2384,7977,Wednesday,22-May-19,20,22,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Mass defenders,Adult Athletics,External Reservation
2385,7694,Wednesday,22-May-19,14,18,4,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown High Baseball,Youth Athletics,Internal Reservation
2386,7586,Wednesday,22-May-19,18,20,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2387,7587,Wednesday,22-May-19,17,20,3,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekdays on Ryan LL field,Youth Athletics,External Reservation
2388,7588,Wednesday,22-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2389,7586,Wednesday,22-May-19,18,20,2,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2390,9118,Wednesday,22-May-19,20,23,3,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",MSCPA Softball #9118,Adult Athletics,External Reservation
2391,8775,Wednesday,22-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2392,7321,Thursday,23-May-19,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2393,8456,Thursday,23-May-19,20,23,3,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",softball #8456,Adult Athletics,External Reservation
2394,7907,Thursday,23-May-19,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High Softball,Youth Athletics,Internal Reservation
2395,7321,Thursday,23-May-19,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2396,7694,Thursday,23-May-19,14,18,4,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown High Baseball,Youth Athletics,Internal Reservation
2397,7586,Thursday,23-May-19,18,20,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2398,7632,Thursday,23-May-19,20,22,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekdays @ Ryan,Youth Athletics,External Reservation
2399,7587,Thursday,23-May-19,17,20,3,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekdays on Ryan LL field,Youth Athletics,External Reservation
2400,7588,Thursday,23-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2401,7586,Thursday,23-May-19,18,20,2,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2402,9118,Thursday,23-May-19,20,23,3,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",MSCPA Softball #9118,Adult Athletics,External Reservation
2403,8775,Thursday,23-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2404,8653,Friday,24-May-19,18,21,3,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",fridays at Barry,Youth Athletics,External Reservation
2405,7321,Friday,24-May-19,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2406,7907,Friday,24-May-19,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High Softball,Youth Athletics,Internal Reservation
2407,7321,Friday,24-May-19,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2408,7694,Friday,24-May-19,14,18,4,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown High Baseball,Youth Athletics,Internal Reservation
2409,7586,Friday,24-May-19,18,20,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2410,7632,Friday,24-May-19,20,22,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekdays @ Ryan,Youth Athletics,External Reservation
2411,7587,Friday,24-May-19,17,20,3,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekdays on Ryan LL field,Youth Athletics,External Reservation
2412,7588,Friday,24-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2413,7632,Friday,24-May-19,20,22,2,RYN - Multipurpose Field - (CHS) (L),Multipurpose Field,Ryan Playground,"Multipurpose Field, Ryan Playground",weekdays @ Ryan,Youth Athletics,External Reservation
2414,7586,Friday,24-May-19,18,20,2,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2415,8775,Friday,24-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2416,7322,Saturday,25-May-19,7,19,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown coop spring 2019 ,Youth Athletics,Internal Reservation
2417,7322,Saturday,25-May-19,7,19,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown coop spring 2019 ,Youth Athletics,Internal Reservation
2418,7590,Saturday,25-May-19,8,20,12,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekends,Youth Athletics,External Reservation
2419,7589,Saturday,25-May-19,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekends on LL field,Youth Athletics,External Reservation
2420,7590,Saturday,25-May-19,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",weekends,Youth Athletics,External Reservation
2421,8775,Saturday,25-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2422,7322,Sunday,26-May-19,7,19,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown coop spring 2019 ,Youth Athletics,Internal Reservation
2423,7322,Sunday,26-May-19,7,19,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown coop spring 2019 ,Youth Athletics,Internal Reservation
2424,7590,Sunday,26-May-19,8,20,12,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekends,Youth Athletics,External Reservation
2425,7589,Sunday,26-May-19,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekends on LL field,Youth Athletics,External Reservation
2426,7590,Sunday,26-May-19,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",weekends,Youth Athletics,External Reservation
2427,8775,Sunday,26-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2428,7321,Monday,27-May-19,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2429,7907,Monday,27-May-19,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High Softball,Youth Athletics,Internal Reservation
2430,7321,Monday,27-May-19,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2431,7586,Monday,27-May-19,18,20,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2432,7632,Monday,27-May-19,20,22,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekdays @ Ryan,Youth Athletics,External Reservation
2433,7587,Monday,27-May-19,17,20,3,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekdays on Ryan LL field,Youth Athletics,External Reservation
2434,7588,Monday,27-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2435,7586,Monday,27-May-19,18,20,2,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2436,8775,Monday,27-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2437,7321,Tuesday,28-May-19,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2438,8983,Tuesday,28-May-19,20,22,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Lacrosse #8983,Adult Athletics,External Reservation
2439,7907,Tuesday,28-May-19,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High Softball,Youth Athletics,Internal Reservation
2440,7321,Tuesday,28-May-19,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2441,7586,Tuesday,28-May-19,18,20,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2442,7632,Tuesday,28-May-19,20,22,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekdays @ Ryan,Youth Athletics,External Reservation
2443,7587,Tuesday,28-May-19,17,20,3,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekdays on Ryan LL field,Youth Athletics,External Reservation
2444,7588,Tuesday,28-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2445,7586,Tuesday,28-May-19,18,20,2,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2446,8775,Tuesday,28-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2447,7321,Wednesday,29-May-19,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2448,7907,Wednesday,29-May-19,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High Softball,Youth Athletics,Internal Reservation
2449,7321,Wednesday,29-May-19,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2450,7977,Wednesday,29-May-19,20,22,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Mass defenders,Adult Athletics,External Reservation
2451,7586,Wednesday,29-May-19,18,20,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2452,7587,Wednesday,29-May-19,17,20,3,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekdays on Ryan LL field,Youth Athletics,External Reservation
2453,7588,Wednesday,29-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2454,7586,Wednesday,29-May-19,18,20,2,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2455,8775,Wednesday,29-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2456,7321,Thursday,30-May-19,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2457,8456,Thursday,30-May-19,20,23,3,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",softball #8456,Adult Athletics,External Reservation
2458,7907,Thursday,30-May-19,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High Softball,Youth Athletics,Internal Reservation
2459,7321,Thursday,30-May-19,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2460,7586,Thursday,30-May-19,18,20,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2461,7632,Thursday,30-May-19,20,22,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekdays @ Ryan,Youth Athletics,External Reservation
2462,7587,Thursday,30-May-19,17,20,3,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekdays on Ryan LL field,Youth Athletics,External Reservation
2463,7588,Thursday,30-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2464,7586,Thursday,30-May-19,18,20,2,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2465,8775,Thursday,30-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2466,8653,Friday,31-May-19,18,21,3,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",fridays at Barry,Youth Athletics,External Reservation
2467,7321,Friday,31-May-19,18,20,2,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2468,7907,Friday,31-May-19,14,18,4,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",Charlestown High Softball,Youth Athletics,Internal Reservation
2469,7321,Friday,31-May-19,18,20,2,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown cooperative spring ,Youth Athletics,Internal Reservation
2470,7586,Friday,31-May-19,18,20,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2471,8027,Friday,31-May-19,20,22,2,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",Charlestown Babe Ruth #8027,Youth Athletics,External Reservation
2472,7587,Friday,31-May-19,17,20,3,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekdays on Ryan LL field,Youth Athletics,External Reservation
2473,7588,Friday,31-May-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2474,7632,Friday,31-May-19,20,22,2,RYN - Multipurpose Field - (CHS) (L),Multipurpose Field,Ryan Playground,"Multipurpose Field, Ryan Playground",weekdays @ Ryan,Youth Athletics,External Reservation
2475,7586,Friday,31-May-19,18,20,2,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",youth,Youth Athletics,External Reservation
2476,8775,Friday,31-May-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2477,7322,Saturday,1-Jun-19,7,19,12,CHS - Lax/Soccer/Football/Track (LT),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown coop spring 2019 ,Youth Athletics,Internal Reservation
2478,7322,Saturday,1-Jun-19,7,19,12,CHS - Softball/Soccer (L),Multipurpose Field,Charlestown High School,"Multipurpose Field, Charlestown High School",charlestown coop spring 2019 ,Youth Athletics,Internal Reservation
2479,7590,Saturday,1-Jun-19,8,20,12,RYN - Baseball (L),Baseball Field,Ryan Playground,"Baseball Field, Ryan Playground",weekends,Youth Athletics,External Reservation
2480,7589,Saturday,1-Jun-19,8,20,12,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",weekends on LL field,Youth Athletics,External Reservation
2481,7588,Saturday,1-Jun-19,20,22,2,RYN - Little League Field (L),Little League Field,Ryan Playground,"Little League Field, Ryan Playground",lights on Little League Field,Youth Athletics,External Reservation
2482,7590,Saturday,1-Jun-19,8,20,12,RYN - Softball 1 (L) Mystic River,Softball Field,Ryan Playground,"Softball Field, Ryan Playground",weekends,Youth Athletics,External Reservation
2483,8775,Saturday,1-Jun-19,8,20,12,RYN - Softball 2 (Rt. 99),Softball Field,Ryan Playground,"Softball Field, Ryan Playground",Charlestown LL #8775,Youth Athletics,External Reservation
2484,9570,Sunday,2-Jun-19,9,18,9,BAP - Softball (L),Softball Field,Barry Playground,"Softball Field, Barry Playground",Hub Sports Boston #9570,Adult Athletics,External Reservation
